???id,title,date,categories,author,Lat,Lng,description
5,Lebe??a (Cilorgio)*-Cantabria,02/14/19,"""Guadalupe""","""Katherine Dau""",43.215367,-4.590585,Iglesia de Santa Mar??a
6,Tagle-Cantabria,02/14/19,"""Guadalupe""","""Katherine Dau""",43.42451,-4.076338,
7,Horcajo de los Montes-Ciudad Real- Castilla-La Mancha,02/14/19,"""Guadalupe""","""Katherine Dau""",39.325313,-4.64968,In August-the townspeople process the image of Guadalupe from her hermitage which lies outside of the city into the church. coordinates of Parroquia de San Antonio Abad
8,El Torno,02/14/19,"""Guadalupe""","""Katherine Dau""",39.255351,-4.258006,plaza of guadalupe
9,Guadalupe- C??ceres- Extremadura,02/14/19,"""Guadalupe""","""Katherine Dau""",39.452384,-5.32732,monastario de guad
10,Jaraiceco-C??ceres- Extremadura,02/14/19,"""Guadalupe""","""Katherine Dau""",39.666685,-5.813173,church????
11,Valdelacasa de Tajo-C??ceres-Extremadura,02/14/19,"""Guadalupe""","""Katherine Dau""",39.726556,-5.283373,no church to be found
12,Villar del Pedroso-C??ceres-Extremadura,02/14/19,"""Guadalupe""","""Katherine Dau""",39.704779,-5.194911,
13,Rianxo-A Coru??a-Galicia,02/14/19,"""Guadalupe""","""Katherine Dau""",42.653012,-8.817926,sanctuary
14,Codeseda-Pontevedra-Galicia,02/14/19,"""Guadalupe""","""Katherine Dau""",42.618443,-8.437432,church of san xurxo - looks like image of mex guad inside
15,Mondariz-Balneario-Pontevedra-Galicia,02/14/19,"""Guadalupe""","""Katherine Dau""",42.22514,-8.470969,church
16,Aldea del Fresno-Madrid,02/14/19,"""Guadalupe""","""Katherine Dau""",40.325828,-4.202344,church
17,Guadalupe-Murcia,02/14/19,"""Guadalupe""","""Katherine Dau""",37.99801,-1.169033,Parroquia de Nuestra Se??ora de Guadalupe
18,Fuenterrab??a-Guip??zcoa-Pa??s Vasco,02/14/19,"""Guadalupe""","""Katherine Dau""",43.365355,-1.797329,Santuario de Nuestra Se??ora de Guadalupe
