id,title,,categories:,lat,lng,description
1.1,Fonz- Huesca- Aragón,2019-02-26,Remedios,0.257309,0.257309,The town of Fonz holds a feast of the Assumption on August 15 every year. 
2.1,La Cerollera- Teruel- Aragón,2019-02-26,Remedios,40.839942,-0.055752,?
3.1,Romanos- Zaragoza- Aragón,2019-02-26,Remedios,41.132801,-1.269131,On August 25 each year- the town processes to the hermitage of Remedios. 
4.1,Doña María- Almería- Andalucía,2019-02-26,Remedios,37.135423,-2.712094,The town holds a festival to the Virgon de los Remedios and St. Teresa from October 12-15 each year. 
5.1,Paterna del Río- Almería- Andalucía,2019-02-26,Remedios,37.01652,-2.957084,This ermita de los Remedios lies just under a kilometer outside the town of Paterna del Río.
6.1,Serón- Almería- Andalucía,2019-02-26,Remedios,37.341885,-2.512209,Serón honors its patron with a 19th century hermitage and plaza named after the Virgin. 
7.1,Chiclana de la Frontera-  Cadíz- Andalucía,2019-02-26,Remedios,36.420969,-6.148704,Housed in the Church of San Telmo- the icon of Remedios has a long history in Chiclana de la Frontera. 
8.1,Olvera- Cadíz- Andalucía,2019-02-26,Remedios,36.926608,-5.240636,Remedios is said to have rescued Olvera from drought in 1715.
9.1,Ubrique- Cadíz- Andalucía,2019-02-26,Remedios,36.680619,-5.444075,Located in a Capuchin convent- this representation of the Virgin de los Remedios probably originates in the beginning of the 17th century. 
10.1,Bélmez- Córdoba- Andalucía,2019-02-26,Remedios,38.277298,-5.20307,The current image of Remedios is a product of the twentieth century as the original was destroyed during the Spanish Civil War.
11.1,Nava del Selpillar (Lucena)- Córdoba- Andalucía,2019-02-26,Remedios,37.418304,-4.588321,Although this small town posesses no church there is a confraternity of Los Remedios. The image iteslf is housed in nearby Lucena.
12.1,Villafranca de Córdoba- Córdoba- Andalucía,2019-02-26,Remedios,37.957659,-4.553482,
13.1,Zuheros- Córdoba- Andalucía,2019-02-26,Remedios,37.543594,-4.316427,This image of Remedios may originate from the 13th century.
14.1,Ambroz (Vega del Genil)- Granada- Andalucía,2019-02-26,Remedios,37.163843,-3.661875,
15.1,Campotéjar- Granada- Andalucía,2019-02-26,Remedios,37.482188,-3.615737,
16.1,El Fargue- Granada- Andalucía,2019-02-26,Remedios,,,
17.1,Iznalloz- Granada- Andalucía,2019-02-26,Remedios,,"37.391951, -3.531201",
18.1,Montefrío- Andalucía Granada,2019-02-26,Remedios,,,
19.1,Aljaraque- Huelva- Andalucía,2019-02-26,Remedios,,"37.272353, -7.023228",
20.1, Arroyomolinos de León- Huelva- Andalucía,2019-02-26,Remedios,,"38.020225, -6.418907",
21.1, Cortelazor- Huelva- Andalucía,2019-02-26,Remedios,,,
22.1,Jabugo- Huelva- Andalucía,2019-02-26,Remedios,,,
23.1,Parada- Huelva- Andalucía,2019-02-26,Remedios,,,
24.1,Canena- Jaén- Andalucía,2019-02-26,Remedios,,,
25.1,Cárchel- Jaén- Andalucía,2019-02-26,Remedios,,,
26.1,Ibros-  Jaén- Andalucía,2019-02-26,Remedios,,,
27.1,Jimena- Jaén- Andalucía,2019-02-26,Remedios,,,
28.1,El Molar (Cazorla)- Jaén- Andalucía,2019-02-26,Remedios,,,
29.1,Santo Tomé- Jaén- Andalucía,2019-02-26,Remedios,,,
30.1,Antequera- Málaga- Andalucía,2019-02-26,Remedios,,,
31.1,Cártama- Málaga- Andalucía,2019-02-26,Remedios,,,
32.1,Mijas- Málaga- Andalucía,2019-02-26,Remedios,,,
33.1,Vélez Málaga- Málaga- Andalucía,2019-02-26,Remedios,,,
